psnrs,iters
13.975061,0
14.32383,1
13.987079,2
14.02331,3
14.152645,4
13.687323,5
14.745874,6
13.217499,7
15.154981,8
14.282328,9
15.008474,10
15.099212,11
13.229868,12
13.279648,13
13.65247,14
14.009328,15
13.810932,16
14.071981,17
13.6320305,18
14.806222,19
13.867797,20
13.734705,21
14.690309,22
14.287817,23
14.581527,24
14.363522,25
14.216223,26
14.412058,27
14.2868595,28
13.235894,29
14.169035,30
13.984072,31
13.586583,32
13.524762,33
14.44015,34
15.290891,35
13.981856,36
13.740067,37
13.711232,38
13.64996,39
14.434662,40
13.4067135,41
13.666755,42
14.930974,43
13.893185,44
13.987888,45
14.57384,46
14.448296,47
14.569087,48
13.367782,49
14.729123,50
13.82865,51
14.293632,52
14.38913,53
14.337303,54
13.827574,55
14.262074,56
14.249209,57
14.596738,58
14.362384,59
14.466106,60
14.514311,61
14.827993,62
14.534149,63
13.725101,64
14.535981,65
14.127571,66
14.208849,67
14.433385,68
14.622057,69
14.192989,70
15.217546,71
14.248735,72
13.295988,73
14.600988,74
15.31118,75
15.959225,76
14.8556185,77
14.488775,78
14.446789,79
14.544832,80
14.332905,81
14.566318,82
14.334575,83
14.235734,84
15.034494,85
14.229475,86
14.595918,87
15.039869,88
14.508387,89
15.7752285,90
15.246105,91
14.784672,92
15.05795,93
14.818008,94
14.280903,95
14.713392,96
14.978563,97
15.014006,98
14.744654,99
14.592105,100
